@relation detectMovementType

@attribute mean numeric
@attribute stdDeviation numeric
@attribute min numeric
@attribute max numeric
@attribute movementType {walking,biking,driving}
@attribute sensor {accelerometer}

@data
9.895784,1.440104,5.766949,13.265886,biking,accelerometer
10.081106,1.607571,5.766949,14.098525,biking,accelerometer
10.298674,2.253485,5.622654,18.146707,biking,accelerometer
9.823024,2.70148,4.511606,18.146707,biking,accelerometer
9.962583,2.69006,4.511606,16.712093,biking,accelerometer
10.052254,2.650056,5.382749,16.712093,biking,accelerometer
9.996087,2.61729,4.990383,15.896027,biking,accelerometer
10.006151,2.545154,4.990383,15.837724,biking,accelerometer
10.028798,2.017764,5.823571,14.911393,biking,accelerometer
10.077186,1.26113,7.009751,14.597026,biking,accelerometer
10.068946,1.2353,6.971866,15.065328,biking,accelerometer
10.091431,1.344359,6.971866,15.065328,biking,accelerometer
10.599446,2.689252,3.428248,22.384757,biking,accelerometer
10.867279,4.043647,2.93296,22.384757,biking,accelerometer
10.771617,4.572436,1.561753,24.288062,biking,accelerometer
10.871627,4.339809,1.289117,24.288062,biking,accelerometer
10.475425,3.537995,1.289117,19.662862,biking,accelerometer
9.92331,2.330099,5.540221,16.277448,biking,accelerometer
10.065858,1.240615,7.617665,15.707277,biking,accelerometer
10.067816,1.172631,6.48813,12.827489,biking,accelerometer
9.991746,1.286117,6.48813,13.092527,biking,accelerometer
9.893291,1.288643,6.960078,13.092527,biking,accelerometer
9.932808,1.323441,6.864657,12.54591,biking,accelerometer
10.135354,1.766388,6.320037,14.858987,biking,accelerometer
9.95612,1.837467,5.668875,14.858987,biking,accelerometer
10.175945,1.380217,5.668875,13.03472,biking,accelerometer
10.298838,1.098971,7.286934,13.03472,biking,accelerometer
10.168112,0.712426,8.276437,12.54954,biking,accelerometer
10.596742,3.307383,3.200736,22.162373,biking,accelerometer
10.946732,4.861634,1.970115,26.8956,biking,accelerometer
10.633843,3.778247,1.970115,26.8956,biking,accelerometer
10.277895,1.287804,6.869925,15.982217,biking,accelerometer
10.013004,0.844685,8.081047,12.739309,biking,accelerometer
10.025156,0.689099,8.081047,12.762516,biking,accelerometer
10.04616,0.432113,8.766176,12.762516,biking,accelerometer
10.03714,0.489663,9.170858,11.988114,biking,accelerometer
10.440031,1.947595,4.241896,19.710956,biking,accelerometer
10.853472,3.862887,1.808094,22.418068,biking,accelerometer
11.399839,4.780221,1.808094,22.418068,biking,accelerometer
11.510861,4.61665,2.236339,22.013598,biking,accelerometer
10.94756,3.752202,4.748379,22.013598,biking,accelerometer
10.469281,2.673988,4.218561,18.578615,biking,accelerometer
10.12627,2.276205,3.402712,15.123954,biking,accelerometer
10.218953,2.082308,3.402712,20.643224,biking,accelerometer
10.281082,2.012511,4.723969,20.643224,biking,accelerometer
10.272744,2.038417,5.725115,16.201559,biking,accelerometer
10.573221,2.152079,5.725115,14.71006,biking,accelerometer
10.496797,2.149256,6.818513,15.748965,biking,accelerometer
10.129413,1.817281,7.182566,15.748965,biking,accelerometer
10.252489,1.559478,8.005589,14.634377,biking,accelerometer
10.328306,1.57868,7.774659,13.859549,biking,accelerometer
10.151997,1.642303,7.496028,14.311473,biking,accelerometer
10.340126,1.698603,7.496028,15.322311,biking,accelerometer
10.42118,1.172278,8.371837,15.322311,biking,accelerometer
10.32211,0.531351,9.051871,11.965096,biking,accelerometer
10.367501,1.154105,7.507165,13.885624,biking,accelerometer
10.23709,1.341347,7.507165,13.885624,biking,accelerometer
