ID,value,axis,IDvec
633,11.503921499999999,3,211
634,2.0624695,1,212
635,-0.51956177,2,212
636,10.057831,3,212
637,0.9060669,1,213
638,0.004760742,2,213
639,9.308441,3,213
640,-0.18330383,1,214
641,-0.19874573,2,214
642,9.535889,3,214
643,-0.29582214,1,215
644,-0.44534302,2,215
645,10.84552,3,215
646,0.9371948,1,216
647,0.6559906,2,216
648,7.117752,3,216
649,0.25483704,1,217
650,-0.8834839,2,217
651,13.266067499999998,3,217
652,2.3713074,1,218
653,0.45965576,2,218
654,8.056274,3,218
655,-0.62861633,1,219
656,-0.5099945,2,219
657,11.719406,3,219
658,1.1430817,1,220
659,0.48838806,2,220
660,8.140075999999999,3,220
661,-0.32455444,1,221
662,0.06701660000000001,2,221
663,11.168747,3,221
664,-0.38441467,1,222
665,1.1994628999999999,2,222
666,6.6293335,3,222
667,-1.7084044999999999,1,223
668,-0.011993408,2,223
669,12.255707000000001,3,223
670,4.3680725,1,224
671,-0.11015319999999999,2,224
672,9.516739,3,224
673,0.30511475,1,225
674,-0.2538147,2,225
675,10.393021000000001,3,225
676,-4.2797849999999995,1,226
677,0.7038727,2,226
678,9.310837,3,226
679,-1.6006622,1,227
680,0.61528015,2,227
681,8.707504,3,227
682,-2.8576202,1,228
683,-1.3407745,2,228
684,11.104095,3,228
685,-1.2654724,1,229
686,-0.6656189,2,229
687,9.954880000000001,3,229
688,0.230896,1,230
689,-1.053482,2,230
690,10.244583,3,230
691,-2.366806,1,231
692,-1.0510864,2,231
693,9.741791000000001,3,231
694,-2.3285065,1,232
695,-0.6392821999999999,2,232
696,8.099380499999999,3,232
697,-1.1146393,1,233
698,-1.2450104,2,233
699,11.360275,3,233
700,0.522995,1,234
701,-0.79011536,2,234
702,10.038681,3,234
703,-1.5839081,1,235
704,-1.4461211999999999,2,235
705,10.706665,3,235
706,-2.1226043999999997,1,236
707,-0.792511,2,236
708,8.623702999999999,3,236
709,-1.2487183000000002,1,237
710,-0.9481354,2,237
711,10.115295,3,237
712,-1.0356292999999999,1,238
713,-1.9560852,2,238
714,9.361114500000001,3,238
715,1.2292786,1,239
716,-2.3176117,2,239
717,11.281265,3,239
718,-0.38920593,1,240
719,-1.9656677,2,240
720,9.674759,3,240
721,0.27398682,1,241
722,-1.6041412,2,241
723,10.950867,3,241
724,-0.025283813,1,242
725,-0.64645386,2,242
726,8.535126,3,242
727,-1.8903656000000002,1,243
728,-1.2569885,2,243
729,9.622086,3,243
730,0.16625977,1,244
731,-0.79011536,2,244
732,9.8160095,3,244
733,0.6211548000000001,1,245
734,-1.2354279,2,245
735,9.631668,3,245
736,0.52059937,1,246
737,-1.1516418,2,246
738,10.876648,3,246
739,1.1694183,1,247
740,0.17234802,2,247
741,9.272537,3,247
742,-0.4490509,1,248
743,-0.3902893,2,248
744,10.256546,3,248
745,0.33384705,1,249
746,-0.09100342,2,249
747,9.557449,3,249
748,0.7336731,1,250
749,-0.043121337999999995,2,250
750,9.751373,3,250
751,0.020202637,1,251
752,-0.3112793,2,251
753,10.060226,3,251
754,-0.24075317,1,252
755,0.1579895,2,252
756,9.468857,3,252
757,0.68818665,1,253
758,-0.028762817000000003,2,253
759,10.51033,3,253
760,0.3003235,1,254
761,0.36628723,2,254
762,8.848755,3,254
763,0.59002686,1,255
764,-0.19395447,2,255
765,10.694687,3,255
766,0.60917664,1,256
767,0.16038513,2,256
768,9.385056,3,256
769,0.19020079999999998,1,257
770,0.11489868,2,257
771,10.218246,3,257
772,-0.31259155,1,258
773,0.28488159999999996,2,258
774,9.672363,3,258
775,0.52059937,1,259
776,0.4620514,2,259
777,9.624481,3,259
778,0.64749146,1,260
779,0.026306152000000003,2,260
780,10.486388999999999,3,260
781,-1.0212708000000001,1,261
782,0.50753784,2,261
783,8.386673,3,261
784,0.230896,1,262
785,-0.10777283,2,262
786,11.171127,3,262
787,0.9683075000000001,1,263
788,0.6990814000000001,2,263
789,8.832001,3,263
790,0.48228455,1,264
791,0.09812927,2,264
792,10.737778,3,264
793,0.42243958,1,265
794,0.41896057,2,265
795,9.476044,3,265
796,-0.07556152,1,266
797,0.28727722,2,266
798,10.17276,3,266
799,-0.28385925,1,267
800,0.5554352,2,267
801,9.313232000000001,3,267
802,-0.008529663,1,268
803,0.09095764,2,268
804,10.333160000000001,3,268
805,0.39849854,1,269
806,0.5099335,2,269
807,9.025925,3,269
808,0.010635376,1,270
809,0.28009033,2,270
810,10.21106,3,270
811,0.33145142,1,271
812,0.36628723,2,271
813,9.63884,3,271
814,0.95874023,1,272
815,0.29206848,2,272
816,10.4600525,3,272
817,0.23808289,1,273
818,0.519516,2,273
819,9.799255,3,273
820,-0.92311096,1,274
821,0.2441864,2,274
822,9.318024000000001,3,274
823,0.032180786,1,275
824,0.43571472,2,275
825,9.849533000000001,3,275
826,1.353775,1,276
827,0.49557495,2,276
828,9.847137,3,276
829,-0.56877136,1,277
830,0.29685974,2,277
831,9.969238,3,277
832,0.82466125,1,278
833,0.5913391,2,278
834,10.05304,3,278
835,1.3442078000000002,1,279
836,0.25135803,2,279
837,9.547867,3,279
838,-0.12344360000000001,1,280
839,-0.12452698,2,280
840,11.1017,3,280
841,-0.947052,1,281
842,0.87864685,2,281
843,7.776153599999999,3,281
844,0.46313477,1,282
845,0.23220825,2,282
846,11.070572,3,282
847,0.78396606,1,283
848,0.4716339,2,283
849,8.875092,3,283
850,0.5086212,1,284
851,0.26812744,2,284
852,10.536667,3,284
853,0.30511475,1,285
854,0.69429016,2,285
855,9.552658000000001,3,285
856,0.013031006000000001,1,286
857,0.26333618,2,286
858,9.693909,3,286
859,-0.9255065999999998,1,287
860,0.31840515,2,287
861,10.41217,3,287
862,1.6506653000000002,1,288
863,0.42375183,2,288
864,10.579773,3,288
865,-0.08752441400000001,1,289
866,0.4716339,2,289
867,9.107330000000001,3,289
868,0.58044434,1,290
869,0.36628723,2,290
870,10.718628,3,290
871,1.3250427,1,291
872,0.89060974,2,291
873,9.928543,3,291
874,0.010635376,1,292
875,0.71343994,2,292
876,9.672363,3,292
877,-1.3971558000000002,1,293
878,0.5314789000000001,2,293
879,8.879883,3,293
880,0.12075806,1,294
881,0.5697937,2,294
882,9.248596000000001,3,294
883,1.9954223999999998,1,295
884,0.6128845,2,295
885,10.850311,3,295
886,1.1287231000000002,1,296
887,0.8331603999999999,2,296
888,8.221480999999999,3,296
889,-1.9143066000000002,1,297
890,0.07897949,2,297
891,10.553436,3,297
892,0.33145142,1,298
893,0.4620514,2,298
894,9.150421000000001,3,298
895,1.7991028000000002,1,299
896,0.27052307,2,299
897,10.239792,3,299
898,0.46792603,1,300
899,0.41656494,2,300
900,10.251755000000001,3,300
901,-0.46342468,1,301
902,1.005539,2,301
903,8.458511,3,301
904,-0.17132568,1,302
905,0.1867218,2,302
906,10.620467999999999,3,302
907,1.5860138000000001,1,303
908,0.37825012,2,303
909,10.129653999999999,3,303
910,1.0999908,1,304
911,0.5506439000000001,2,304
912,9.468857,3,304
913,-0.49215698,1,305
914,0.84033203,2,305
915,9.602936,3,305
916,-0.24554443,1,306
917,0.41656494,2,306
918,9.459274,3,306
919,0.8079071,1,307
920,0.3710785,2,307
921,10.184723,3,307
922,1.5740508999999998,1,308
923,0.30882263,2,308
924,9.928543,3,308
925,-0.2646942,1,309
926,0.7972412,2,309
927,9.035507,3,309
928,-0.28865050000000003,1,310
929,0.6416168000000001,2,310
930,10.249374000000001,3,310
931,0.118377686,1,311
932,0.11010742,2,311
933,9.842346000000001,3,311
934,1.2891388000000001,1,312
935,0.22741699,2,312
936,10.3211975,3,312
937,0.606781,1,313
938,0.37347412,2,313
939,10.49118,3,313
940,-1.0428162,1,314
941,0.60092163,2,314
942,9.600539999999999,3,314
943,0.41764832,1,315
944,0.1292572,2,315
945,10.503159,3,315
946,2.0864105,1,316
947,0.5338745,2,316
948,9.397034,3,316
949,-0.49693298,1,317
950,0.94807434,2,317
951,9.622086,3,317
952,-1.1553497,1,318
953,1.084549,2,318
954,8.252609,3,318
955,0.5349579000000001,1,319
956,-0.17001343,2,319
957,11.649979,3,319
958,1.597992,1,320
959,0.74935913,2,320
960,8.822417999999999,3,320
961,-0.8033905,1,321
962,0.83555603,2,321
963,9.150421000000001,3,321
964,-0.5065155,1,322
965,0.016738892,2,322
966,11.094513000000001,3,322
967,1.7464293999999998,1,323
968,0.18911743,2,323
969,9.969238,3,323
970,0.12075806,1,324
971,0.90737915,2,324
972,9.052261,3,324
973,-1.05719,1,325
974,0.7350005999999999,2,325
975,9.329987,3,325
976,0.90127563,1,326
977,-0.32084656,2,326
978,11.779266,3,326
979,1.7943115,1,327
980,0.9456787,2,327
981,8.231049,3,327
982,-1.184082,1,328
983,0.7445679000000001,2,328
984,8.884674,3,328
985,-0.16893005,1,329
986,-0.12452698,2,329
987,11.039458999999999,3,329
988,2.579605,1,330
989,0.20347595,2,330
990,10.065017999999998,3,330
991,-0.53764343,1,331
992,1.1491851999999998,2,331
993,8.053879,3,331
994,-0.95184326,1,332
995,-0.60336304,2,332
996,12.013900999999999,3,332
997,0.84381104,1,333
998,-0.30648804,2,333
999,10.974808,3,333
1000,0.5636901999999999,1,334
1001,1.0342712,2,334
1002,7.948532000000001,3,334
1003,-1.5886993,1,335
1004,-0.040725708,2,335
1005,9.978821,3,335
1006,2.5748138,1,336
1007,-0.24423218,2,336
1008,11.740952,3,336
1009,1.1646423000000001,1,337
1010,1.6112671,2,337
1011,6.653274499999999,3,337
1012,-3.2335052,1,338
1013,0.18193054,2,338
1014,9.696304,3,338
1015,0.68818665,1,339
1016,-0.8284149,2,339
1017,12.224578999999999,3,339
1018,2.969864,1,340
1019,1.0917358,2,340
1020,7.64447,3,340
1021,-1.8257141,1,341
1022,0.28009033,2,341
1023,10.287674,3,341
1024,-1.006897,1,342
1025,-0.33522034,2,342
1026,10.804825,3,342
1027,3.1302795,1,343
1028,0.6894989,2,343
1029,9.1241,3,343
1030,-0.8393096999999999,1,344
1031,0.47882079999999994,2,344
1032,9.145645,3,344
1033,-1.1170349,1,345
1034,0.028701782000000002,2,345
1035,9.533508,3,345
1036,2.5413055,1,346
1037,0.06941223,2,346
1038,11.798416,3,346
1039,-0.63819885,1,347
1040,0.70866394,2,347
1041,7.378723,3,347
1042,-2.0531769,1,348
1043,-1.053482,2,348
1044,12.839889999999999,3,348
1045,-2.4003296,1,349
1046,-1.8291931000000001,2,349
1047,11.5542145,3,349
1048,-6.875091599999999,1,350
1049,-1.8531342,2,350
1050,7.215911999999999,3,350
1051,-6.932556,1,351
1052,-3.0334778,2,351
1053,9.976425,3,351
1054,0.3170929,1,352
1055,-0.5219574,2,352
1056,8.688354499999999,3,352
1057,-3.9828949999999996,1,353
1058,-2.5594330000000003,2,353
1059,10.462448,3,353
1060,-4.7777709999999995,1,354
1061,-3.311203,2,354
1062,9.859116,3,354
1063,0.3386383,1,355
1064,-1.4796448,2,355
1065,10.900589,3,355
1066,-2.3237152,1,356
1067,-2.4014130000000002,2,356
1068,10.541458,3,356
1069,-5.354782,1,357
1070,-3.1268616000000002,2,357
1071,8.408234,3,357
1072,-1.5910950000000001,1,358
1073,-2.2745208999999997,2,358
1074,11.001144,3,358
1075,3.3984222,1,359
1076,-0.09339905,2,359
1077,10.146423,3,359
1078,-4.7442474,1,360
1079,-2.7270203,2,360
1080,9.691513,3,360
1081,-4.5263824,1,361
1082,-2.042282,2,361
1083,8.063461,3,361
1084,0.7719879,1,362
1085,-1.44133,2,362
